accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled,churn
13,19.71252476,256.2628218,Basic,Credit card,No,Both,No,Tablet,6.482156474,50.02911613,33,Action,1.184573121,6,Male,7,Yes,No,0
57,9.247976928,527.1346849,Premium,Bank transfer,No,Both,No,Mobile,17.03698618,44.52960999,14,Action,4.567708376,8,Male,7,Yes,Yes,0
99,9.358378775,926.4794987,Basic,Bank transfer,No,Both,Yes,Computer,14.29574935,43.811234,31,Fantasy,1.951099647,0,Male,17,No,No,0
28,13.17488013,368.8966438,Basic,Mailed check,Yes,Movies,No,Mobile,6.882020157,57.23038348,49,Drama,1.414288816,2,Female,7,Yes,Yes,0
7,18.94709049,132.6296334,Standard,Bank transfer,Yes,Both,Yes,Tablet,27.00701378,95.18079641,44,Fantasy,3.98802405,7,Female,11,Yes,No,0
40,17.12437366,684.9749465,Basic,Credit card,No,Movies,No,TV,9.99536702,37.17806253,8,Sci-Fi,1.894655034,5,Male,23,Yes,Yes,0
42,16.67584298,700.3854054,Basic,Credit card,No,Movies,Yes,TV,23.19570188,160.7696278,22,Action,2.855075273,3,Female,9,Yes,Yes,0
36,11.92887678,429.439564,Standard,Bank transfer,No,TV Shows,No,Computer,17.73294761,8.419382927,18,Comedy,4.833171744,5,Female,23,No,No,1
5,7.982223112,39.91111556,Standard,Mailed check,No,Both,No,Computer,2.673052032,37.44003522,46,Fantasy,2.497901727,9,Female,4,No,Yes,1
92,13.34614385,1227.845234,Standard,Bank transfer,Yes,Both,Yes,Mobile,31.04997936,46.32102803,17,Comedy,4.358135924,3,Female,3,Yes,No,0
112,18.5818417,2081.16627,Standard,Bank transfer,Yes,Both,No,Mobile,33.51351183,150.1733635,8,Action,1.310237893,6,Male,12,No,Yes,1
88,5.176614229,455.5420522,Basic,Mailed check,No,TV Shows,Yes,Tablet,18.27851092,26.99687508,15,Comedy,1.392886737,8,Male,6,No,Yes,0
